Student Assign-01 Assign-02 Assign-03 Assign-04 Assign-05
Leo 75.18946456229318 75.18946456229318 51.11104521702515 102.26643638268112 76.75080413775629
Melissa 74.19980182842183 82.71753776862641 75.50170172870074 80.96450195736483 65.00245865379362
Angel 76.28674732303469 65.00245865379362 82.57291790173942 57.9502262919472 69.50021313206943
Ferdaws 71.61225735069455 90.49795780667822 63.899543028615504 63.58271354319437 70.31619408893849
Cali 63.33743199093793 60.34122069745034 62.99436288175759 72.58173924351577 83.93978683451587
Mitchell 58.156748545867735 72.24153984095507 67.1560554285071 84.7489440083995 87.38489373816518
Ola 70.05418832503716 69.50021313206943 72.58173924351577 65.66584231160255 65.12304504880231
Ze 86.63812697065819 80.07433995539151 72.02699660240923 81.56406277741598 69.3018251737456
Alvin 97.87113578791259 69.3018251737456 71.95321284248773 63.58271354319437 61.552397293151834
Cassandra 74.09043646698639 97.87113578791259 90.49795780667822 60.34122069745034 65.12304504880231
Nicole 62.99436288175759 57.9502262919472 78.1313244383535 77.91257399462494 82.57291790173942
Maria 69.29992171963218 63.58271354319437 53.978439908975204 92.6296334745504 86.0026838533619
Patricia 74.09043646698639 69.92112762835613 94.80331225950982 86.0026838533619 72.96406515486431
Fady 76.92393046339612 63.069814740605516 75.45072630149913 75.18946456229318 77.19662950399598
Mohammed 94.80331225950982 71.95321284248773 81.56406277741598 51.11104521702515 63.069814740605516
